text,labels
"@BEVLIEBER Adoro questa canzone, è una delle mie preferite 😍😍😍 STREAM ICARUS FALLS",joy (R)
#MilanNovara È  arrivato il 3 gol del MILAN ❤🖤 dicevamo.... #SempreMilan💥💥,joy (R)
stream icarus falls 🖤 zayn ha un talento ed è ingiusto ciò che gli è stato fatto :( https://t.co/3ZyaaODrCt,sadness (E)
"Persona di indiscutibile cultura #Daverio aveva il raro dono di farti appassionare a ciò che lui per primo amava: l'arte e la bellezza. Tutto quello che ci ha insegnato non andrà perduto, resterà nel tempo come le cattedrali, i quadri, le opere, di cui tanto ci ha parlato. RIP https://t.co/EJbqdGQjNz",sadness (E)
Oggi la direttrice @ECDC_EU ha spiegato che #COVID__19 in rialzo ma non preoccupante perché:  - Molti più #tamponi; - Numero #ricoveri molto basso; - Nei paesi in cui si è tornati a #scuola no aumento #contagi.  Perché allora #governo e #media stanno ricreando clima da panico?,fear (Q)
"Oggi perdiamo il critico d'arte Philippe Daverio, intellettuale poliedrico e ironico, che amava Taranto e il Museo Archeologico Nazionale di Taranto. Buon viaggio, Philippe.  #PhilippeDaverio https://t.co/330rAjRrco",sadness (E)
#OurFavouriteBoysACE   @official_ACE7   SIAMO A METÀ MI VIENE DA PIANGERE,sadness (E)
Buon Compleanno a Keanu Reeves 😊  #KeanuReeves #Cyberpunk2077 https://t.co/7hWA2HJA1W,joy (R)
Kendall e taylor in tendenza nello stesso giorno che allegro mercoledì pomeriggio,joy (R)
"No raga ma che cazzo di discorsi sono  che è colpa di Taylor con folklore se Katy sta “floppando” ma voi state male, non perdete proprio occasione per buttare odio agli altri artisti per innalzare i vostri beniamini",anger (W)
"Ho capito meglio la situazione di icarus falls perché prima non avevo ben approfondito, e dire che sono incazzata è poco. Apple Music fai cagare al cazzo ma davvero. Ora vado in palestra torno e dopo in camera mia ci sarà un cazzo di concerto di zayn buona e STREAM ICARUS FALLS",anger (W)
Sono già innamorato di Emil Roback!  Sono un #Robacker  #MilanNovara,joy (R)
"gli unici che hanno l'isee che non rispecchia la reale situazione economica sono gli evasori, se sei un proprietario terriero e non coltivi perché non ti si crea allora cazzi tuoi la proprietà ce l'hai lo stesso",anger (W)
"Toh #Salvini , volevi compagnia? Eccone un altro dei tuoi, predicare bene e razzolare male è il programma comune della vostra scuola #laPeggiore_DESTRA_diSempre  #Cavazza https://t.co/4yi0bgAela",anger (W)
"Quanto ci siamo indignati 5 anni fa per la foto del piccolo #AlanKurdi steso sulla riva senza vita? Purtroppo da allora 700 #minori, neonati compresi, hanno perso la vita. Molti minori continuano ad incontrare ostacoli nell’ottenere lo status di rifugiato o le tutele previste.",sadness (E)
"QUESTA CANZONE È IL PARADISO, AIUTOOOO. STREAM ICARUS FALLS #zaynislovedparty https://t.co/WkuzgF855O",joy (R)
"Ma che cazzo c’entra, ma lo sapete cristo che essere in fascia alta non vuol dire essere ricchi??! Come lo sapete che molti di quei caproni che stanno nella  fascia più bassa sono spesso figli di dentisti che non dichiarano niente apposta per non pagare un cazzo?",anger (W)
"la delicatezza che usa nel toccarla, lo sguardo che si illumina, le pareti che crollano e le emozioni che esplodono. è tutto così magnifico..  «ho provato a scappare da te, ma non ci riesco» 💘  #daydreamer • #erkencikuş https://t.co/HLUQ8x39JU",joy (R)
"Esigo che il concorrente Fausto Leali venga cacciato dal programma Grande Fratello Vip per aver elogiato il fascismo, andando contro la Costituzione Italiana, e usato termini razzisti contro uno dei concorrenti  #FUORILEALI  @GrandeFratello",anger (W)
"Che bello mio marito, col cuoreee ❤️ #domenicalive @giansainato https://t.co/soIn2crX2z",joy (R)
Fiero di @giansainato è della persona che lui è ❤️ una bellissima intervista e lui si è rivelato un vero signore 👏 #DomenicaLive,joy (R)
Agnelli vendi agli arabi porco di un dio,anger (W)
"stiamo impazzendo? FAUSTO LEALI, come tutti gli ITALIANI, da sempre ha detto NEGRO a un nero, senza per questo essere RAZZISTI  nel dopoguerra c'era una canzone sull' ANGIOLETTO NEGRO,  NESSUNO GRIDAVA RAZZISTA LA DOVETE FA FINITA. SIETE I VERI RAZZISTI!",anger (W)
